# GENESIS element table.
#
# Real measured values. These are not decoration: melting point decides whether
# a fire can smelt an ore, electronegativity decides which reductions are
# plausible, conductivity decides what a material is good for, and hardness
# feeds straight into tool effectiveness.
#
# electronegativity is Pauling; 0 means none is defined (noble gases).
# density g/cm3 at STP, melting/boiling K, thermal W/(m.K), electrical MS/m,
# hardness Mohs (0 where not meaningful).
Z,symbol,name,atomic_mass,electronegativity,oxidation_states,density,melting_K,boiling_K,thermal_cond,electrical_cond,hardness,category
1,H,Hydrogen,1.008,2.20,"+1,-1",0.00008988,13.99,20.271,0.1805,0,0,nonmetal
2,He,Helium,4.0026,0,0,0.0001785,0.95,4.222,0.1513,0,0,noble gas
3,Li,Lithium,6.94,0.98,+1,0.534,453.65,1603,84.8,10.8,0.6,alkali metal
4,Be,Beryllium,9.0122,1.57,+2,1.85,1560,2742,200,25,5.5,alkaline earth
5,B,Boron,10.81,2.04,+3,2.34,2349,4200,27.4,0.0000001,9.3,metalloid
6,C,Carbon,12.011,2.55,"+4,+2,-4",2.267,3823,4098,140,0.061,0.5,nonmetal
7,N,Nitrogen,14.007,3.04,"-3,+5",0.0012506,63.15,77.355,0.02583,0,0,nonmetal
8,O,Oxygen,15.999,3.44,-2,0.001429,54.36,90.188,0.02658,0,0,nonmetal
9,F,Fluorine,18.998,3.98,-1,0.001696,53.48,85.03,0.0277,0,0,halogen
10,Ne,Neon,20.180,0,0,0.0008999,24.56,27.104,0.0491,0,0,noble gas
11,Na,Sodium,22.990,0.93,+1,0.968,370.944,1156.09,142,21,0.5,alkali metal
12,Mg,Magnesium,24.305,1.31,+2,1.738,923,1363,156,22.6,2.5,alkaline earth
13,Al,Aluminium,26.982,1.61,+3,2.70,933.47,2743,237,37.7,2.75,metal
14,Si,Silicon,28.085,1.90,+4,2.3290,1687,3538,149,0.00000252,6.5,metalloid
15,P,Phosphorus,30.974,2.19,"+5,-3",1.823,317.3,553.7,0.236,0,0,nonmetal
16,S,Sulfur,32.06,2.58,"-2,+4,+6",2.07,388.36,717.8,0.205,0,2,nonmetal
17,Cl,Chlorine,35.45,3.16,"-1,+7",0.003214,171.6,239.11,0.0089,0,0,halogen
18,Ar,Argon,39.95,0,0,0.001784,83.81,87.302,0.01772,0,0,noble gas
19,K,Potassium,39.098,0.82,+1,0.862,336.7,1032,102.5,13.9,0.4,alkali metal
20,Ca,Calcium,40.078,1.00,+2,1.55,1115,1757,201,29.8,1.75,alkaline earth
21,Sc,Scandium,44.956,1.36,+3,2.985,1814,3109,15.8,1.77,0,transition metal
22,Ti,Titanium,47.867,1.54,+4,4.506,1941,3560,21.9,2.34,6,transition metal
23,V,Vanadium,50.942,1.63,"+5,+3",6.11,2183,3680,30.7,5.0,7,transition metal
24,Cr,Chromium,51.996,1.66,"+3,+6",7.19,2180,2944,93.9,7.87,8.5,transition metal
25,Mn,Manganese,54.938,1.55,"+2,+4,+7",7.21,1519,2334,7.81,0.62,6,transition metal
26,Fe,Iron,55.845,1.83,"+2,+3",7.874,1811,3134,80.4,10.0,4,transition metal
27,Co,Cobalt,58.933,1.88,"+2,+3",8.90,1768,3200,100,17.2,5,transition metal
28,Ni,Nickel,58.693,1.91,+2,8.908,1728,3186,90.9,14.3,4,transition metal
29,Cu,Copper,63.546,1.90,"+2,+1",8.96,1357.77,2835,401,59.6,3,transition metal
30,Zn,Zinc,65.38,1.65,+2,7.14,692.68,1180,116,16.6,2.5,transition metal
33,As,Arsenic,74.922,2.18,"+3,+5,-3",5.727,1090,887,50.2,3.45,3.5,metalloid
34,Se,Selenium,78.971,2.55,"-2,+4,+6",4.81,494,958,0.519,0.00000001,2,nonmetal
35,Br,Bromine,79.904,2.96,-1,3.1028,265.8,332,0.122,0,0,halogen
40,Zr,Zirconium,91.224,1.33,+4,6.52,2128,4650,22.6,2.36,5,transition metal
42,Mo,Molybdenum,95.95,2.16,"+6,+4",10.28,2896,4912,138,18.7,5.5,transition metal
47,Ag,Silver,107.868,1.93,+1,10.49,1234.93,2435,429,63.0,2.5,transition metal
50,Sn,Tin,118.71,1.96,"+4,+2",7.265,505.08,2875,66.8,9.17,1.5,metal
51,Sb,Antimony,121.760,2.05,"+3,+5",6.697,903.78,1860,24.4,2.88,3,metalloid
53,I,Iodine,126.904,2.66,-1,4.933,386.85,457.4,0.449,0,0,halogen
56,Ba,Barium,137.327,0.89,+2,3.51,1000,2118,18.4,2.94,1.25,alkaline earth
74,W,Tungsten,183.84,2.36,+6,19.25,3695,6203,173,18.9,7.5,transition metal
78,Pt,Platinum,195.084,2.28,"+2,+4",21.45,2041.4,4098,71.6,9.66,3.5,transition metal
79,Au,Gold,196.967,2.54,"+3,+1",19.30,1337.33,3129,318,45.2,2.5,transition metal
80,Hg,Mercury,200.592,2.00,"+2,+1",13.534,234.32,629.88,8.30,1.02,0,transition metal
82,Pb,Lead,207.2,1.87,"+2,+4",11.34,600.61,2022,35.3,4.81,1.5,metal
83,Bi,Bismuth,208.980,2.02,"+3,+5",9.78,544.7,1837,7.97,0.867,2.25,metal
90,Th,Thorium,232.038,1.30,+4,11.7,2115,5061,54.0,6.67,3,actinide
92,U,Uranium,238.029,1.38,"+6,+4",19.1,1405.3,4404,27.5,3.6,6,actinide
